parameter,estimate,se,se_model,se_type,z,hazard_ratio,hr_lo,hr_hi,transition,term,extension,loglik,lr_test_vs_full,df
q01:low_income,0.0098606953351127,0.0368435087127084,0.0368435087127084,observed information,0.2676372495356682,1.0099094721840784,0.9395515596591612,1.0855361065837803,H to C,low_income,income,-165769.7555372503,1789.604817590618,36
q01:high_income,-0.0695337423173116,0.0340888620489622,0.0340888620489622,observed information,-2.0397789230229946,0.9328286570529732,0.8725390129404976,0.9972841219864104,H to C,high_income,income,-165769.7555372503,1789.604817590618,36
q02:low_income,0.5443916446157054,0.1248177861053274,0.1248177861053274,observed information,4.361490950947652,1.723559526652079,1.3495197438332536,2.2012700855158385,H to D,low_income,income,-165769.7555372503,1789.604817590618,36
q02:high_income,-0.1238221737450918,0.1417316497149553,0.1417316497149553,observed information,-0.873638132302261,0.8835369429795412,0.6692375449686833,1.1664580618323837,H to D,high_income,income,-165769.7555372503,1789.604817590618,36
q05:low_income,0.3162954904505881,0.2422993178316792,0.2422993178316792,observed information,1.30539158459502,1.3720356191558944,0.8533280919005862,2.2060468395452872,H to X,low_income,income,-165769.7555372503,1789.604817590618,36
q05:high_income,-0.4890267540814711,0.291044718562486,0.291044718562486,observed information,-1.6802461027186768,0.6132229205584823,0.3466379545133931,1.0848273981600174,H to X,high_income,income,-165769.7555372503,1789.604817590618,36
q12:low_income,0.3562435297254492,0.025244366496417,0.025244366496417,observed information,14.111803113617878,1.4279552554749253,1.3590209779895992,1.5003861196129853,C to D,low_income,income,-165769.7555372503,1789.604817590618,36
q12:high_income,-0.210102141416133,0.0292585507824237,0.0292585507824237,observed information,-7.180879975174513,0.8105014559756242,0.7653294372310836,0.85833966156493,C to D,high_income,income,-165769.7555372503,1789.604817590618,36
q13:low_income,2.5402680797367676,1.2813213518230648,1.2813213518230648,observed information,1.9825378513535832,12.683070589354095,1.0292992492424238,156.2813532536179,C to L,low_income,income,-165769.7555372503,1789.604817590618,36
q13:high_income,-5.180145564812349,7.1794727790970985,7.1794727790970985,observed information,-0.7215217223044911,0.0056271872343297,4.355126361284044e-09,7270.796193584649,C to L,high_income,income,-165769.7555372503,1789.604817590618,36
q14:low_income,0.5097569876785802,0.1457849394629344,0.1457849394629344,observed information,3.496636823779627,1.664886557834656,1.251094172377276,2.215538455583709,C to N,low_income,income,-165769.7555372503,1789.604817590618,36
q14:high_income,0.1780765412537449,0.1402156264973534,0.1402156264973534,observed information,1.2700192246910949,1.1949167781629637,0.9077864759493466,1.5728655852051143,C to N,high_income,income,-165769.7555372503,1789.604817590618,36
q15:low_income,0.3445132487706164,0.0435508144536371,0.0435508144536371,observed information,7.910604040192513,1.4113027990803453,1.2958328974205735,1.537062066148155,C to X,low_income,income,-165769.7555372503,1789.604817590618,36
q15:high_income,-0.3148457181593121,0.0493280371532365,0.0493280371532365,observed information,-6.382693014547695,0.7299014761258801,0.6626365222838789,0.8039945685675647,C to X,high_income,income,-165769.7555372503,1789.604817590618,36
q20:low_income,-0.1619059515837135,0.1280291846674671,0.1280291846674671,observed information,-1.2646019109176956,0.8505211909499034,0.6617660703590935,1.0931148160290414,D to H,low_income,income,-165769.7555372503,1789.604817590618,36
q20:high_income,0.3041365562496021,0.1544810105652631,0.1544810105652631,observed information,1.9687633783384295,1.3554541391860122,1.0013546923094476,1.8347703741210697,D to H,high_income,income,-165769.7555372503,1789.604817590618,36
q21:low_income,-0.1373487228038243,0.0274547834357497,0.0274547834357497,observed information,-5.002724684580026,0.8716662032429394,0.8260003362838854,0.9198567318922102,D to C,low_income,income,-165769.7555372503,1789.604817590618,36
q21:high_income,0.118204302733765,0.0343342330808314,0.0343342330808314,observed information,3.4427535473264297,1.1254740253006703,1.0522273529056072,1.2038194769682309,D to C,high_income,income,-165769.7555372503,1789.604817590618,36
q23:low_income,0.1293501507404064,0.0470483853717481,0.0470483853717481,observed information,2.7493005279216067,1.138088556956759,1.0378334461972163,1.2480283500420029,D to L,low_income,income,-165769.7555372503,1789.604817590618,36
q23:high_income,-0.0715960175844347,0.0567225738893125,0.0567225738893125,observed information,-1.2622138361377244,0.9309068898726346,0.832957829949154,1.0403739618670014,D to L,high_income,income,-165769.7555372503,1789.604817590618,36
q24:low_income,0.0031776778447114,0.1490088218926421,0.1490088218926421,observed information,0.0213254343222772,1.0031827320150442,0.749102382114395,1.3434419884937507,D to N,low_income,income,-165769.7555372503,1789.604817590618,36
q24:high_income,-0.2615466834323425,0.1740730070993283,0.1740730070993283,observed information,-1.502511433510772,0.7698599348812504,0.5473155454482425,1.082893267447692,D to N,high_income,income,-165769.7555372503,1789.604817590618,36
q25:low_income,0.2614425695846003,0.0889366967730961,0.0889366967730961,observed information,2.9396478514557147,1.2988023486715785,1.0910348438871151,1.5461353506408668,D to X,low_income,income,-165769.7555372503,1789.604817590618,36
q25:high_income,0.0074976121099312,0.1106517712074447,0.1106517712074447,observed information,0.0677586271608344,1.0075257895808345,0.8110870780220617,1.2515403637621174,D to X,high_income,income,-165769.7555372503,1789.604817590618,36
q32:low_income,0.0058774680210482,0.0523744473893399,0.0523744473893399,observed information,0.1122201438681811,1.005894774225158,0.907758913990486,1.1146398908555213,L to D,low_income,income,-165769.7555372503,1789.604817590618,36
q32:high_income,0.0211205110699402,0.07878601679934,0.07878601679934,observed information,0.2680743605014581,1.021345127615478,0.8752024203318854,1.1918909791272123,L to D,high_income,income,-165769.7555372503,1789.604817590618,36
q34:low_income,0.3203294288493354,0.1305789086025314,0.1305789086025314,observed information,2.4531483091529336,1.3775815046842272,1.0665133409949776,1.7793783997841206,L to N,low_income,income,-165769.7555372503,1789.604817590618,36
q34:high_income,-0.1672493447613312,0.1774866636640063,0.1774866636640063,observed information,-0.942320630230252,0.8459886422001784,0.5974269837678895,1.1979652780627696,L to N,high_income,income,-165769.7555372503,1789.604817590618,36
q35:low_income,-0.2001757290296819,0.0587362340182909,0.0587362340182909,observed information,-3.4080450062110796,0.8185868909579183,0.7295708840810015,0.9184638705699142,L to X,low_income,income,-165769.7555372503,1789.604817590618,36
q35:high_income,-0.0384159211336146,0.0694029528300694,0.0694029528300694,observed information,-0.5535199810255143,0.9623126114919784,0.8399224534896123,1.1025369763471435,L to X,high_income,income,-165769.7555372503,1789.604817590618,36
q42:low_income,-0.6856920634650279,0.1869801493151542,0.1869801493151542,observed information,-3.6671917632780193,0.5037414878334875,0.3491781054601838,0.7267222159598746,N to D,low_income,income,-165769.7555372503,1789.604817590618,36
q42:high_income,0.4648192709879494,0.1918459862640731,0.1918459862640731,observed information,2.422877225839548,1.5917264917339673,1.0928633056349977,2.3183075243025058,N to D,high_income,income,-165769.7555372503,1789.604817590618,36
q43:low_income,-0.131945910561176,0.3097047313666577,0.3097047313666577,observed information,-0.4260377617704714,0.8763883971539799,0.4776069409462437,1.6081353866935726,N to L,low_income,income,-165769.7555372503,1789.604817590618,36
q43:high_income,0.2470806048308794,0.4327218888334578,0.4327218888334578,observed information,0.570991695143884,1.2802823055580133,0.5482333303840166,2.98982694243854,N to L,high_income,income,-165769.7555372503,1789.604817590618,36
q45:low_income,-0.028115227103202,0.0476117175231407,0.0476117175231407,observed information,-0.5905106676636313,0.972276327761644,0.8856493329596452,1.067376468705297,N to X,low_income,income,-165769.7555372503,1789.604817590618,36
q45:high_income,0.0363151353715526,0.0630396942981112,0.0630396942981112,observed information,0.5760677581940729,1.0369825848969902,0.916454676758499,1.1733617697092202,N to X,high_income,income,-165769.7555372503,1789.604817590618,36
